cost_bps,model,n,annual_return,annual_volatility,sharpe,certainty_equivalent_gamma3,mean_turnover,variance_target_mae,utility_diff_nw_t_vs_har,utility_diff_p_vs_har
0,HAR,14812,-0.16788179708839973,0.38123039233546346,-0.4403683453985279,-0.3858867151487769,0.10893031788923305,0.0005722044202676301,,
0,HPTS_Final,14812,-0.19129506208967714,0.39014135572451475,-0.4903224415530912,-0.4196104782595207,0.1008575692020915,0.0005843965303022271,-1.529434561186735,0.12615675004906401
5,HAR,14812,-0.18774667027041403,0.38124933220590146,-0.49245114524952827,-0.4057732502315828,0.10893031788923305,0.0005722044202676301,,
5,HPTS_Final,14812,-0.20969558270519323,0.39016450550179665,-0.5374542782550157,-0.43803809473538546,0.1008575692020915,0.0005843965303022271,-1.4667788011373974,0.14243623826325935
10,HAR,14812,-0.20761154345242833,0.3812691754458737,-0.5445274803808564,-0.425660819670193,0.10893031788923305,0.0005722044202676301,,
10,HPTS_Final,14812,-0.2280961033207093,0.39018851402895305,-0.5845792357275384,-0.456466718040893,0.1008575692020915,0.0005843965303022271,-1.4040601778757313,0.1603009305384654
20,HAR,14812,-0.24734128981645703,0.3813115714638703,-0.6486592810884388,-0.46543906161482645,0.10893031788923305,0.0005722044202676301,,
20,HPTS_Final,14812,-0.2648971445517412,0.39023910669322964,-0.6788072748433671,-0.49332698514083595,0.1008575692020915,0.0005843965303022271,-1.2785655148644919,0.20105010023651648
