variant,n,alpha,pool,gain_vs_har_pct,nw_t,p_two_sided
final_no_spread,14829,100.0,10.0,6.9924569170330635,5.160533007585343,2.462477395768189e-07
with_iv_spread,14829,100.0,10.0,6.952460215662038,5.080991833475545,3.754692619339821e-07
rolling_1095_days,14829,100.0,10.0,6.839456995207904,4.3476990699977165,1.37573185595051e-05
rolling_730_days,14829,100.0,10.0,6.498198460139815,3.5271543156628002,0.00042005186889336585
eth_iv_only,14829,100.0,10.0,6.320935276511507,5.364419053228284,8.121016817265198e-08
btc_iv_only,14829,30.0,30.0,6.086360329897289,4.1640082292981795,3.127088358010144e-05
iv_delayed_one_day,14829,100.0,30.0,5.88388440842651,4.752059888408721,2.013547091643093e-06
