scale,n,gain_vs_har_pct,nw_t,p_two_sided
log_realised_variance,14829,6.9924569170330635,5.160533007585343,2.462477395768189e-07
log_realised_volatility,14829,6.9924569170330635,5.160533007585343,2.462477395768189e-07
raw_realised_volatility,14829,2.824683965359376,1.2058080009413403,0.22789152979349547
