subset,model,n,mse,mse_gain_vs_har_pct,mse_nw_t,mse_p_two_sided,qlike,qlike_gain_vs_har_pct,qlike_nw_t,qlike_p_two_sided
15_assets_without_listed_options,HPTS_Final,13007,0.5343265461741913,6.686045440475297,4.761601655042625,1.9206250942868266e-06,0.3866440430426929,0.447329128109597,0.25224596262896964,0.8008509533443674
15_assets_without_listed_options,HPTS_CommonIV,13007,0.5348838915754939,6.588711508961886,4.651850760007298,3.2896913049539186e-06,0.38829868865860306,0.02129284648472174,0.028088084597807098,0.9775918974388793
15_assets_without_listed_options,HPTS_IVSpecific,13007,0.5359266476583111,6.406606213192156,4.620155016072673,3.834534390263891e-06,0.38595837401642696,0.6238744134364649,0.35173077191653057,0.7250401807294904
15_assets_without_listed_options,Full_PerAsset,13007,0.5359652764918591,6.39986013395617,4.683446570005414,2.82091010047614e-06,0.3830193433410852,1.3806127074036056,0.7556546320285288,0.4498562915305776
15_assets_without_listed_options,ElasticNet,13007,0.5383321060818917,5.986520706230181,4.730421630687266,2.240540088977412e-06,0.3830084811537238,1.3834094911192585,0.8214641571330729,0.4113819322938991
15_assets_without_listed_options,Full_FixedEffects,13007,0.5386502636906086,5.930958157719068,4.272469710235733,1.9331982014553637e-05,0.3879376663296192,0.11424846740131223,0.07856381056690497,0.9373795735145347
15_assets_without_listed_options,HistGradientBoosting,13007,0.5428218836133532,5.202432961473846,3.248140008467603,0.0011616209646594892,0.3835458928294847,1.2450373407074555,0.526628377974866,0.5984516813053635
15_assets_without_listed_options,HPTS_NoIV,13007,0.5449574239230515,4.8294855328909865,3.985182040737156,6.742841214632491e-05,0.3846612186164681,0.9578645186132273,0.4634817840435744,0.6430190688493509
15_assets_without_listed_options,HAR_IV_PerAsset,13007,0.5619908940766609,1.8547868747659901,2.1636697103268836,0.030489707247241222,0.3950113636463014,-1.707079116681709,-1.3813047165136434,0.16718528863108684
15_assets_without_listed_options,HAR,13007,0.5726116192335905,0.0,0.0,1.0,0.3883813861109229,0.0,0.0,1.0
15_assets_without_listed_options,HAR_J,13007,0.5744953425826073,-0.3289705073637794,-0.9782390202340249,0.32795612173621214,0.389339763519878,-0.24676193124286705,-0.4638654719852598,0.6427441319550049
15_assets_without_listed_options,RandomWalk,13007,0.8173948303103238,-42.748558159606034,-14.09982888095283,3.8069167994135825e-45,0.5414052631146125,-39.4004147665268,-7.352548757718495,1.944625624379839e-13
all_17_assets,HPTS_Final,14829,0.5499558348363491,6.9924569170330635,5.160533007585343,2.462477395768189e-07,0.38806958822344295,1.0549348810003467,0.5936989970675974,0.5527134539844554
all_17_assets,HPTS_CommonIV,14829,0.550516643901463,6.897613895137644,5.1128136408661184,3.173953870979332e-07,0.3887951453072795,0.8699415316466674,0.48935299676299265,0.6245918068826686
all_17_assets,Full_PerAsset,14829,0.5515968252609859,6.714935563589197,5.0298997001503984,4.907364790408413e-07,0.38583545754374754,1.6245652058057503,0.9117102495794248,0.3619212669930747
all_17_assets,HPTS_IVSpecific,14829,0.5526713134742306,6.533220046714572,4.880962141818938,1.0556950903801061e-06,0.3884620312508238,0.9548747317950079,0.5543623720907143,0.5793308722536268
all_17_assets,ElasticNet,14829,0.5543211219391957,6.254207402127299,5.03550846902753,4.7658205630812114e-07,0.38639227898950357,1.482593930854248,0.9034347067508081,0.36629522691937355
all_17_assets,HistGradientBoosting,14829,0.5553355430828772,6.082650320178518,3.772423547852547,0.00016166951215371053,0.38624831513233654,1.5193000105225507,0.6417935491975898,0.521007238655
all_17_assets,Full_FixedEffects,14829,0.5553708261830361,6.076683305647068,4.607038127918466,4.084451307017211e-06,0.38930376203456735,0.7402608848521286,0.4385971636359809,0.6609534525876168
all_17_assets,HPTS_NoIV,14829,0.5617675183646765,4.994886212159666,4.4212050934545175,9.815195578547532e-06,0.3859911855132633,1.584859661871929,0.8415512748492081,0.40003917271045286
all_17_assets,HAR_IV_PerAsset,14829,0.577525503636247,2.3299240439112356,2.657818129437636,0.007864832274131126,0.3990410762898741,-1.7424360909303438,-1.4251892481850321,0.15410250346179366
all_17_assets,HAR,14829,0.5913024004362352,0.0,0.0,1.0,0.39220711791610613,0.0,0.0,1.0
all_17_assets,HAR_J,14829,0.5924937285574832,-0.20147527227509787,-0.6232706448415231,0.5331066848678765,0.39220604093874717,0.00027459403711960206,0.07675254259505548,0.9388204048340625
all_17_assets,RandomWalk,14829,0.8569976362131511,-44.933901093737894,-14.682279757746409,8.372739920892699e-49,0.5630307426184267,-43.554442767369686,-8.15042939854042,3.626343066166886e-16
