cutoff,block,common_abs_mean,deviation_rms,total_rms
2024-01-01,HAR,0.12338632957860282,0.008766169975949017,0.1361766440331503
2024-01-01,XSEC,0.0331417452420158,0.00945433687449517,0.046874423416535325
2024-01-01,TAIL,0.04961104204592667,0.011548022824488505,0.060026034488508045
2024-01-01,IV,0.08159181708261846,0.010011944446033634,0.09915626147445597
2024-03-01,HAR,0.12280964430491888,0.008895546624386368,0.13587210977151504
2024-03-01,XSEC,0.03510169606912966,0.00969719612730068,0.04721052725752485
2024-03-01,TAIL,0.050146798064217644,0.011842130973903643,0.06047209395806364
2024-03-01,IV,0.07906194957907654,0.010159526018349442,0.09960552976207707
2024-04-30,HAR,0.12377383163315053,0.009126578424994269,0.13349416154489904
2024-04-30,XSEC,0.03661005854264722,0.010339938204131505,0.04876950267948216
2024-04-30,TAIL,0.04758981400081568,0.011699981887614135,0.05751334496474274
2024-04-30,IV,0.07477584517675126,0.010005095496421068,0.10131004325391055
2024-06-29,HAR,0.12113084608570937,0.009193236217319921,0.13129796508036878
2024-06-29,XSEC,0.037274458271436856,0.010286544540513903,0.04993813871559169
2024-06-29,TAIL,0.05047768275858426,0.011908847994613225,0.06064206503429401
2024-06-29,IV,0.07269020542277484,0.010119302030150918,0.10274991007578849
2024-08-28,HAR,0.12436617708190358,0.009264065068360439,0.12953644892749022
2024-08-28,XSEC,0.032252828051948707,0.010236910276693913,0.04682723007676816
2024-08-28,TAIL,0.051368614494009646,0.011862348117392313,0.0614456989175868
2024-08-28,IV,0.06854151036875882,0.010081922863583673,0.0912274238428584
2024-10-27,HAR,0.12213224812698034,0.009682780475772739,0.12803345242495115
2024-10-27,XSEC,0.03336684287353704,0.010631164777253062,0.047218041903726554
2024-10-27,TAIL,0.05195892793562194,0.01169495239087183,0.06200307490532802
2024-10-27,IV,0.06832908636958021,0.010184179872318353,0.08974856014073242
2024-12-26,HAR,0.1272740632404808,0.009279705482250603,0.1333128519301283
2024-12-26,XSEC,0.03480891305086338,0.011019515023921978,0.04921043181636665
2024-12-26,TAIL,0.05286553892633266,0.012026265425035347,0.06260899270032146
2024-12-26,IV,0.06718816656167391,0.01046549136249912,0.08016869589579016
2025-02-24,HAR,0.12382842417923388,0.009388323367771923,0.13086225788533734
2025-02-24,XSEC,0.03600235816065922,0.011184690124607388,0.049894119539911574
2025-02-24,TAIL,0.0554743041161619,0.012475470527143557,0.06601735875126512
2025-02-24,IV,0.06663659218424012,0.010587704987341394,0.07773169560459285
2025-04-25,HAR,0.12257701592831903,0.009325532687413606,0.1304082234090531
2025-04-25,XSEC,0.03741587421761228,0.01124365171956424,0.0509555532837532
2025-04-25,TAIL,0.055638045840038675,0.012331730402051143,0.06568867545868158
2025-04-25,IV,0.06849369011830207,0.010647643684641911,0.07643208875249138
2025-06-24,HAR,0.12003123227484679,0.009410429979779382,0.1289731309972036
2025-06-24,XSEC,0.040200115570178815,0.011087180430004333,0.05299712434027712
2025-06-24,TAIL,0.0549214501966426,0.012294469342890267,0.06443525732685368
2025-06-24,IV,0.06931071844679763,0.010872635939191709,0.07836258128142365
2025-08-23,HAR,0.11815249990670382,0.00986579913945282,0.12812057570244742
2025-08-23,XSEC,0.042285099005352995,0.01111741375359861,0.054227476524361704
2025-08-23,TAIL,0.05548938132507658,0.0125643012424687,0.06515388569185307
2025-08-23,IV,0.06982975987889772,0.011454429918473692,0.08003401258651113
2025-10-22,HAR,0.11797824625230283,0.010070944676778009,0.12700601145851473
2025-10-22,XSEC,0.044536093888608366,0.011111926122897109,0.05667239456712553
2025-10-22,TAIL,0.055246050835085256,0.012611851322124034,0.06459322790040056
2025-10-22,IV,0.06859855758337484,0.01142054554758515,0.07723967544388466
2025-12-21,HAR,0.11608912367615064,0.010214455303341259,0.12507697674034937
2025-12-21,XSEC,0.045862248116660544,0.011289066927402927,0.05805939078168374
2025-12-21,TAIL,0.055544409300659736,0.012608566537575562,0.06520146668038677
2025-12-21,IV,0.06891221044060902,0.011757573257799973,0.07816915151599288
2026-02-19,HAR,0.11654532898776998,0.010356199904591794,0.12576376981406812
2026-02-19,XSEC,0.04731531495967568,0.011517268348149203,0.05991750724662841
2026-02-19,TAIL,0.05352822269130006,0.012812358169374262,0.06228893575169983
2026-02-19,IV,0.06991310480319408,0.011967143791614723,0.078807084167254
2026-04-20,HAR,0.11687892261318192,0.010454731105345961,0.12505334965996784
2026-04-20,XSEC,0.04796661816799019,0.011827226326581017,0.060306223838228555
2026-04-20,TAIL,0.05322110260697742,0.013045441505975168,0.06213757541285529
2026-04-20,IV,0.06918531229478363,0.011807708609899886,0.07764627285755575
2026-06-19,HAR,0.11806963930471395,0.010265745095400954,0.12640727074067123
2026-06-19,XSEC,0.049631569623574096,0.011968358806573647,0.06215563044541703
2026-06-19,TAIL,0.052742184809472036,0.013164742722353672,0.06097437930395433
2026-06-19,IV,0.0695264222759302,0.011689796941070321,0.07735973852420823
