comparator,gain_current_pct,nw_t,p_two_sided,holm_p
HPTS_NoIV,2.1025928239339353,2.4361075093934925,0.01484627129220943,0.08907762775325657
dvol_stale_1d,1.0447515347172587,1.5504501356562554,0.12103351302896902,0.311424050312647
dvol_stale_2d,1.0440730441627855,1.354511665431397,0.17557319424097795,0.311424050312647
dvol_stale_3d,2.173899096913745,2.5614931000861696,0.010422331152695377,0.07295631806886764
dvol_stale_5d,1.5686449454993423,1.9987010644916094,0.045640707772513556,0.18256283109005422
dvol_stale_7d,1.8451756825478838,2.4035481114472246,0.016236830309885087,0.08907762775325657
dvol_date_permuted,1.59630035993642,1.6266661731667231,0.10380801677088235,0.311424050312647
