model,comparator,n,mse_gain_pct,nw_t,p_two_sided,omitted_block,ablation_model,ablated_gain_vs_har_pct,alpha,pool
HPTS_Final,HPTS_without_HAR,14829,0.36227071949636036,1.4445978167774018,0.14857088638946375,HAR,HPTS_without_HAR,6.654292751765922,100.0,10.0
HPTS_Final,HPTS_without_XSEC,14829,2.8025446602923054,4.697839018078864,2.62928532146175e-06,XSEC,HPTS_without_XSEC,4.310722170757364,3.0,1.0
HPTS_Final,HPTS_without_TAIL,14829,1.5855969233189438,2.289420416017479,0.022054937043358876,TAIL,HPTS_without_TAIL,5.49397224865682,100.0,10.0
HPTS_Final,HPTS_without_IV,14829,2.1025928239339353,2.436107509393492,0.014846271292209442,IV,HPTS_without_IV,4.994886212159666,10.0,30.0
