model,comparator,n,mse_gain_pct,nw_t,p_two_sided,variant
HPTS_Final,HAR,14829,6.9924569170330635,5.16053300758534,2.46247739576823e-07,current_open
dvol_stale_1d,HAR,14829,6.010500175139766,4.800678528525676,1.581289340174824e-06,dvol_stale_1d
dvol_stale_2d,HAR,14829,6.01114461342469,4.907193690353937,9.238878378289326e-07,dvol_stale_2d
dvol_stale_3d,HAR,14829,4.9256361805658955,4.233518775332509,2.3006296553228856e-05,dvol_stale_3d
dvol_stale_5d,HAR,14829,5.510248201429924,4.645986668289468,3.3845486127123447e-06,dvol_stale_5d
dvol_stale_7d,HAR,14829,5.244043041468716,4.231383566145508,2.3225821435220434e-05,dvol_stale_7d
dvol_date_permuted,HAR,14829,5.483692764433101,4.676264679316158,2.921474917588424e-06,dvol_date_permuted
